H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,19500,,,,19464,,19796,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,152,Chile,CHL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,11950,,,,11950,,11041,,,0
H5,2017,2017,2017,4,0,2,Export,218,Ecuador,ECU,604,Peru,PER,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,7550,,,,7514,,8755,,,0
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,61194068,,,,61194068,,7883232,,,0
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,36,Australia,AUS,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,575,,,,575,,99,,,0
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,124,Canada,CAN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,28,,,,28,,15,,,0
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,579,Norway,NOR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,61193460,,,,61193460,,7883116,,,0
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,702,Singapore,SGP,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,5,,,,5,,1,,,0
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1413613,,,,,,281881,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,36,Australia,AUS,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,6396,,,,,,694,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,40,Austria,AUT,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,27643,,,,27643,,6603,,,0
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,56,Belgium,BEL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2218,,,,2218,,6936,,,0
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,124,Canada,CAN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,15628,,,,,,1695,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,152,Chile,CHL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,155,,,,155,,16,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,156,China,CHN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,310740,,,,,,33718,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,208,Denmark,DNK,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,128200,,,,128200,,29840,,,0
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,246,Finland,FIN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,116280,,,,116280,,21568,,,0
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,251,France,FRA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,90614,,,,90614,,31191,,,0
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,348,Hungary,HUN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,103,,,,103,,32,,,0
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,376,Israel,ISR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1754,,,,,,190,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,141660,,,,141660,,32196,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2429,,,,,,263,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,458,Malaysia,MYS,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2139,,,,,,232,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,528,Netherlands,NLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,179358,,,,179358,,38106,,,0
